region,year_unemployment,unemployment_noed,unemployment_seconded,unemployment_tertiaryed,unemployment_rate
FRL0,2015,17.2,11.9,5.8,10.5
FRM0,2015,18.3,8.2,3.7,8.3
FRY1,2015,32,26.1,9.6,23.8
FRY2,2015,27,19.5,NA,17.8
FRY3,2015,35.3,18.8,NA,23
FRY4,2015,32.2,22.8,8.1,22.3
FRY5,2015,38.4,23.4,NA,29.7
HR03,2015,17.2,15.5,9.8,14.2
HR04,2015,17.3,14.1,6.9,12.6
HU11,2015,14.9,4.9,1.9,4.3
HU12,2015,7.4,3.4,NA,3.1
HU21,2015,6.2,2.9,NA,3
HU22,2015,7.7,2.3,NA,2.7
HU23,2015,15.9,5.2,NA,6.2
HU31,2015,15.8,5,2.8,6.3
HU32,2015,17.8,8.4,3.1,9.3
HU33,2015,13,5.3,NA,5.6
IE04,2015,10.7,9.5,6.2,8.5
IE05,2015,13.9,9.3,5.8,8.6
IE06,2015,16.3,10.9,4.3,8.2
IS00,2015,4.5,3.1,1.7,3
ITC1,2015,12.3,9,4.8,9.3
ITC2,2015,11.8,7.6,NA,8.7
ITC3,2015,14.7,8.1,5.8,9.7
ITC4,2015,9.8,7.4,3.9,7.4
ITF1,2015,13.3,11.5,11.6,12.1
ITF2,2015,14.2,12.8,10.5,12.8
ITF3,2015,25.7,20.2,10.1,20.4
ITF4,2015,23.6,18.4,11.4,19.4
ITF5,2015,13.6,14.1,10.6,13.3
ITF6,2015,27.1,22.8,16.3,23.2
ITG1,2015,28.9,19.9,11.7,22.1
ITG2,2015,19.4,18.5,9.5,17.3
ITH1,2015,4.8,3.1,3.6,3.7
ITH2,2015,10.3,5.9,5.1,6.8
ITH3,2015,8.3,6.1,6,6.8
ITH4,2015,9.8,7.3,4.7,7.5
ITH5,2015,9.5,6.3,4.9,6.9
ITI1,2015,11.8,9.5,6,9.5
ITI2,2015,13.2,9.3,5.8,9.6
ITI3,2015,12.8,10.6,7.2,10.6
ITI4,2015,15,11.9,5.8,11.1
LT01,2015,25.6,8.2,2.4,5.6
LT02,2015,24.3,11.1,3.2,8.8
LU00,2015,9.9,6.7,4,6.3
LV00,2015,20.6,11.3,4.3,9.6
ME00,2015,24.2,19.5,11.9,17.7
MK00,2015,29.1,23.7,19.4,23.7
MT00,2015,7.4,3.9,1.7,4.7
NL11,2015,14,8.8,4.2,8.2
NL12,2015,10.6,6.4,3.5,6.7
NL13,2015,11.3,5.2,3.8,6.5
NL21,2015,9.6,6.3,3.5,6.2
NL22,2015,8,5.7,3.8,5.6
NL23,2015,14.1,7.1,3.6,7.9
NL31,2015,7.4,5.7,3.3,5
NL32,2015,9,5.7,3.6,5.5
NL33,2015,12.2,7.1,3.8,7.1
NL34,2015,6.4,2.8,NA,3.9
NL41,2015,8.8,5.3,2.8,5.3
NL42,2015,8.9,5.5,3.3,5.7
NO01,2015,10.8,4.6,2.9,4.6
NO02,2015,9.5,3.7,2.6,4.5
NO03,2015,9.9,4.7,3.2,5.1
NO04,2015,11.2,4.5,3.9,5.5
NO05,2015,9.4,4.4,3.3,4.8
NO06,2015,8.7,3,3.1,4
NO07,2015,8.1,2.3,1.5,3.2
PL21,2015,6.9,6.3,3.1,5.2
PL22,2015,17.7,6,2.8,5.4
PL41,2015,12.7,5.2,2.4,4.8
PL42,2015,16.9,7.6,2.9,6.9
PL43,2015,NA,4.6,NA,4.7
PL51,2015,18.8,5.9,2.4,5.5
PL52,2015,NA,5,NA,5
PL61,2015,18.5,7.8,3.6,7.4
PL62,2015,19.4,9.4,3.1,8.8
PL63,2015,10,6.8,3.1,5.7
PL71,2015,13.5,6.3,2.5,5.5
PL72,2015,13.8,10.1,5.1,8.9
PL81,2015,13.9,8.6,5.5,8
PL82,2015,19.5,10.6,5.6,9.6
PL84,2015,NA,7.5,4.3,6.7
PL91,2015,NA,4.7,2.5,3.6
PL92,2015,13,8.3,4.8,7.8
PT11,2015,12.5,13,9.9,12
PT15,2015,9.7,10.4,NA,9.2
PT16,2015,7.7,11.5,6.7,8.4
PT17,2015,15.3,11.8,8.1,11.9
PT18,2015,11.8,13.2,11.3,12.1
PT20,2015,12.8,NA,NA,11.1
PT30,2015,14.1,NA,NA,12.9
RO11,2015,8.5,3.5,NA,4.3
RO12,2015,11.6,4.6,NA,5.2
RO21,2015,2.5,3.6,NA,3
RO22,2015,9.4,7.9,4.1,7.7
RO31,2015,11.1,9.3,4.4,8.9
RO32,2015,11.8,5.3,2.3,4.7
RO41,2015,7.1,11.9,6.6,9.9
RO42,2015,11.2,4.2,NA,4.9
RS11,2015,25.2,16.7,12.3,15.7
RS12,2015,17.7,15.7,11.7,15.1
RS21,2015,7.8,17,16.6,14.7
RS22,2015,9.9,17.5,17,15.8
SE11,2015,18.4,5.6,3.8,6.5
SE12,2015,21.4,6.1,4,7.7
SE21,2015,16.3,4.9,3.1,6.2
SE22,2015,20.3,7.2,5.4,8.4
SE23,2015,17.3,4.9,4,6.5
SE31,2015,20.2,5.6,4.2,7.5
SE32,2015,19.7,5.9,1.9,6.8
SE33,2015,16.1,4.8,3.8,5.8
SI03,2015,16.1,8.2,7.6,8.9
SI04,2015,12,7.8,4.8,7.1
SK01,2015,NA,5,4.5,5.1
SK02,2015,21.8,7.6,5.2,7.7
SK03,2015,30.4,10.1,6.5,10.8
SK04,2015,42.5,12,6.5,13.2
TR10,2015,13.1,14.5,13.2,13.5
TR21,2015,6.5,9,8.6,7.5
TR22,2015,4.9,8.5,9.7,6.7
TR31,2015,13.1,15.7,14,13.9
TR32,2015,5.4,9.1,8.5,6.7
TR33,2015,3.5,6.9,7.5,4.9
TR41,2015,8.3,10.3,8.9,9
TR42,2015,10.9,9.1,11.5,10.6
TR51,2015,11.7,12,10.5,11.3
TR52,2015,5.1,8,8.1,6.1
TR61,2015,10.2,13.6,12.1,11.4
TR62,2015,8.4,12.8,13.9,10.3
TR63,2015,13.9,16.2,14.5,14.4
TR71,2015,11.8,17.3,14.8,13.4
TR72,2015,6.7,12.2,9.3,8.3
TR81,2015,6.8,10.3,13.5,8.7
TR82,2015,4.4,9.8,7.5,5.7
TR83,2015,6,9.9,13.5,7.9
TR90,2015,3.1,6.7,6.5,4.5
TRA1,2015,4.4,5.3,6.3,4.9
TRA2,2015,4.3,5.4,7.8,4.8
TRB1,2015,6.7,11.4,11.3,8.8
TRB2,2015,8.5,12.9,9.4,9.1
TRC1,2015,13.4,14.4,14.9,13.9
TRC2,2015,16.9,20.4,15.7,17.2
TRC3,2015,28.3,29.7,25.3,28.1
UKC1,2015,12.8,6.1,4.8,6.9
UKC2,2015,11.8,7.7,3.9,7.1
UKD1,2015,NA,3.8,NA,3.7
UKD3,2015,9.5,6.6,4.1,6.1
UKD4,2015,7.8,5.1,1.9,4.4
UKD6,2015,NA,2.8,2.8,3.2
UKD7,2015,9,5,2.8,4.9
UKE1,2015,9.9,5.1,3.2,5.5
UKE2,2015,NA,3.1,NA,2.9
UKE3,2015,11.7,8.5,3,7.1
UKE4,2015,9.7,6.3,2.6,5.8
UKF1,2015,7.8,4.9,2.5,4.5
UKF2,2015,8.8,4.4,2.6,4.5
UKF3,2015,7,4.5,NA,4.3
UKG1,2015,5.1,4.3,2.4,3.7
UKG2,2015,6.9,4.5,2,4.2
UKG3,2015,12.1,8,3.9,7.5
UKH1,2015,6.6,3.8,2.3,3.8
UKH2,2015,6.5,4.2,3,4.1
UKH3,2015,6.4,4.1,1.9,3.8
UKI3,2015,17.2,8.3,3,4.7
UKI4,2015,14.8,11.7,3.9,7.2
UKI5,2015,7.4,6.9,3.8,5.5
UKI6,2015,NA,6.4,2.9,4.2
UKI7,2015,5.1,6.7,4,5
UKJ1,2015,3.8,2.8,2.2,2.7
UKJ2,2015,6.1,3.5,2.8,3.5
UKJ3,2015,7.3,3.8,2.2,3.7
UKJ4,2015,8,4.8,2.3,4.5
UKK1,2015,7.2,3.9,2.1,3.6
UKK2,2015,5.4,5.4,2.6,4.3
UKK3,2015,NA,4.2,NA,3.7
UKK4,2015,5.6,3.8,2,3.5
UKL1,2015,9.3,4.8,2.7,4.9
UKL2,2015,7.1,4.7,NA,3.6
UKM5,2015,14.3,NA,3.5,5.1
UKM6,2015,NA,NA,NA,3.5
UKM7,2015,10.1,4.9,3.2,4.8
UKM8,2015,7.8,7,3.1,5.3
UKM9,2015,10.5,5.6,4.9,6.2
UKN0,2015,8.1,7,2.8,5.7
AT11,2016,NA,5,NA,5.2
AT12,2016,12.2,4.3,2.6,4.8
AT13,2016,23.2,11.6,5.2,10.4
AT21,2016,12.9,4.5,NA,4.8
AT22,2016,9.9,4.2,2.8,4.5
AT31,2016,11.1,3.3,1.4,4
AT32,2016,NA,2.7,NA,3.1
AT33,2016,6.6,2.6,2.9,3.3
AT34,2016,NA,3.2,NA,3.7
BE10,2016,27.2,18,8.2,14.8
BE21,2016,10.5,5.3,4.6,5.9
BE22,2016,6.8,4.4,2.7,4.1
BE23,2016,7.7,3.3,2.2,3.4
BE24,2016,9.7,3.6,4.4,4.7
BE25,2016,6.6,3,1.9,3.2
BE31,2016,14.3,7.9,6.1,7.5
BE32,2016,21,13,4.4,11.4
BE33,2016,21,10.2,5.2,10.5
BE34,2016,14,7.9,NA,6.7
BE35,2016,13.7,9.8,3.3,7.4
BG31,2016,31.2,10.3,4.2,11.3
BG32,2016,19.8,5.6,NA,6.9
BG33,2016,24.6,6.7,4.9,9.4
BG34,2016,18.8,5.3,3.3,7
BG41,2016,9.6,3.5,2.2,3.3
BG42,2016,12,4.3,3.3,5.2
CH01,2016,11.5,7.9,6.1,7.8
CH02,2016,8.2,3.8,3.2,4.2
CH03,2016,9.4,3.8,3.3,4.4
CH04,2016,7.2,4.5,3.7,4.4
CH05,2016,6.1,3.9,2.6,3.7
CH06,2016,3,3.2,2.4,2.9
CH07,2016,8.8,6.1,4.8,6
CY00,2016,13.9,11.4,9.7,11.1
CZ01,2016,7.6,1.7,1.4,1.7
CZ02,2016,12.3,2.1,0.5,2.1
CZ03,2016,8.1,2,1,2.1
CZ04,2016,15.4,2.4,1,3.4
CZ05,2016,11.5,2.6,1.6,2.8
CZ06,2016,11.1,3.2,1.9,3.1
CZ07,2016,12.2,3.2,2,3.3
CZ08,2016,21.6,4.3,2.2,4.7
DE11,2016,6.5,2.5,2,3
DE12,2016,7.2,2.7,2.1,3.3
DE13,2016,6.5,2.2,2.1,2.9
DE14,2016,5.1,1.9,NA,2.2
DE21,2016,5.4,1.9,1.6,2.2
DE22,2016,NA,1.9,NA,2.1
DE23,2016,NA,1.9,NA,2.2
DE24,2016,8.8,2.2,NA,3
DE25,2016,4.4,1.9,NA,2.1
DE26,2016,NA,1.8,NA,2.3
DE27,2016,6,2.3,NA,2.6
DE30,2016,20.8,6.3,3.6,7
DE40,2016,13.8,4.4,1.9,4.5
DE50,2016,NA,4.4,NA,4.3
DE60,2016,11.8,3.4,2.4,4.2
DE71,2016,10,2.9,1.4,3.5
DE72,2016,8.8,3.3,NA,3.6
DE73,2016,6.1,2.4,NA,2.5
DE80,2016,15.4,5.1,NA,5.1
DE91,2016,12.9,3.4,2.4,4.4
DE92,2016,11.4,3.8,2.1,4.5
DE93,2016,9.5,2.6,NA,3.4
DE94,2016,6.9,2.5,NA,3
DEA1,2016,10.9,3.6,1.9,4.3
DEA2,2016,8.6,3.3,2.1,3.7
DEA3,2016,9.7,3.2,1.9,3.9
DEA4,2016,9.4,3.2,NA,3.9
DEA5,2016,12,3.5,2.5,4.6
DEB1,2016,7.7,2.5,NA,3.1
DEB2,2016,NA,NA,NA,2
DEB3,2016,8.3,3.3,2.1,3.8
DEC0,2016,11.7,3.3,NA,4.5
DED2,2016,16.6,4.3,2.1,4.3
DED4,2016,14.9,4,NA,4.1
DED5,2016,NA,5.8,NA,5.1
DEE0,2016,20.3,6.8,2.4,6.9
DEF0,2016,9,3,2.2,3.6
DEG0,2016,16,4.5,2,4.4
DK01,2016,10.6,5.7,4.6,6.2
DK02,2016,9.3,4.4,4,5.6
DK03,2016,10.6,4.2,5.1,6.1
DK04,2016,8,4.2,4.8,5.4
DK05,2016,9.3,4.3,3.9,5.6
EE00,2016,10.8,6.6,3.2,5.8
EL30,2016,32,24.3,15.4,21.6
EL41,2016,26.2,21.6,19.7,22.5
EL42,2016,18.1,18.3,8.5,16
EL43,2016,16.5,20.1,15.4,17.7
EL51,2016,18.4,22.5,17,19.5
EL52,2016,27.2,25.6,16.5,22.9
EL53,2016,29.4,30.6,26.6,29.1
EL54,2016,26.3,27.5,20.3,24.8
EL61,2016,20.7,22.9,17.2,20.6
EL62,2016,22.8,19.6,14.6,19.6
EL63,2016,24.8,30.7,21.6,26.3
EL64,2016,20.7,21.3,20.3,20.8
EL65,2016,15.3,19.2,14.3,16.8
ES11,2016,21,14.8,11.1,15.7
ES12,2016,20.4,13.3,9.9,13.7
ES13,2016,18.4,14.8,9.6,13.6
ES21,2016,18.7,13.3,7.2,11.3
ES22,2016,15.3,11.3,6.8,10.2
ES23,2016,16.1,12.1,8.3,12
ES24,2016,17.1,12.3,6.5,11.6
ES30,2016,22.4,15.1,7.8,13.3
ES41,2016,19.7,13.5,9,14.1
ES42,2016,26.4,19.5,12.8,20.8
ES43,2016,34,22.9,14.7,26.2
ES51,2016,20.3,14.1,7.3,13.4
ES52,2016,23.7,18.3,11.9,18.2
ES53,2016,16.8,12.5,6.9,12.4
ES61,2016,33.9,23.4,14.5,25.5
ES62,2016,23.2,19.3,9.7,18
ES63,2016,32.8,15.7,11.1,22.4
ES64,2016,39.6,25.2,14.5,27.6
ES70,2016,30.1,22.2,16,23.5
FI19,2016,18.2,10,6,9.3
FI1B,2016,17.8,8.3,4.8,7.7
FI1C,2016,16.9,9.2,5,8.5
FI1D,2016,19.4,10.4,5.5,9.6
FI20,2016,NA,NA,NA,NA
FR10,2016,15.7,10.9,4.8,8.7
FRB0,2016,14.2,9.1,4.7,8.5
FRC1,2016,18.1,11.2,5.9,10.7
FRC2,2016,15,6.8,3.8,6.9
FRD1,2016,10.8,8,6,8.1
FRD2,2016,19.9,11.9,5,11.3
FRE1,2016,23.8,14.6,5.1,12.9
FRE2,2016,15.6,9.7,5.4,10
FRF1,2016,18,9,4.9,9
FRF2,2016,15.9,9.2,5.6,9.6
FRF3,2016,20.5,11.1,6.1,11
FRG0,2016,13.3,7.1,4.6,7.1
FRH0,2016,13.9,6.9,6,7.3
FRI1,2016,16.1,10.6,6.8,10.1
FRI2,2016,13.7,5.7,4.1,6.3
FRI3,2016,16.7,9.1,5.5,9.1
FRJ1,2016,20.2,13.5,6.2,12.3
FRJ2,2016,11.9,7.8,5.1,7.2
FRK1,2016,15,7.8,5.8,8.4
FRK2,2016,13.2,7.9,4.5,7.2
FRL0,2016,17.6,11.4,5.6,10.3
FRM0,2016,14.1,13.2,3.8,9.8
FRY1,2016,30.4,22.5,11.9,22.4
FRY2,2016,24.4,19,8.8,17.8
FRY3,2016,36.9,19.3,NA,21.9
FRY4,2016,30.8,24.5,9.2,22.7
FRY5,2016,38.9,19.3,NA,29.6
HR03,2016,16,11.9,7.1,10.9
HR04,2016,20.8,11.6,7.1,11.4
HU11,2016,9,3.1,1.6,2.9
HU12,2016,7.2,2.7,NA,2.6
HU21,2016,5.7,2.1,NA,2.2
HU22,2016,7,2,NA,2.4
HU23,2016,14.9,5.6,NA,6.3
HU31,2016,13.5,5,NA,5.8
HU32,2016,16.9,5.9,2.9,7.4
HU33,2016,8.7,3.8,2.2,4.1
IE04,2016,7.9,7.8,4,6.2
IE05,2016,11.2,8.2,4.6,7
IE06,2016,13.3,8.8,3.8,6.7
IS00,2016,4.7,2.4,1.6,2.7
ITC1,2016,12.1,8.8,4.6,9.1
ITC2,2016,11.5,6.4,NA,7.8
ITC3,2016,15.1,7.3,6.2,9.5
ITC4,2016,8.5,6.4,3.5,6.4
ITF1,2016,12.3,12.1,9.9,11.7
ITF2,2016,15.9,16.4,9,14.6
ITF3,2016,28,19.1,10.6,20.9
ITF4,2016,22.9,18.3,10.8,18.8
ITF5,2016,14.2,12.8,10.5,12.8
ITF6,2016,26.7,20.9,13.3,21.6
ITG1,2016,26.4,20.6,12.5,21.5
ITG2,2016,21.1,15.7,10.4,17
ITH1,2016,4.6,2.6,NA,3.1
ITH2,2016,8.1,5.6,3.4,5.7
ITH3,2016,9.1,5.5,4.2,6.3
ITH4,2016,7.7,6.6,5.8,6.7
ITH5,2016,8.9,6,4.6,6.5
ITI1,2016,11.5,8.2,5.3,8.6
ITI2,2016,14.7,10.1,6.6,10.5
ITI3,2016,12.9,10.8,6.8,10.6
ITI4,2016,14.9,11.2,5.8,10.7
LT01,2016,18.1,7.3,2.3,4.8
LT02,2016,20.8,10,3.3,8.1
LU00,2016,8.9,5.3,3.8,5.5
LV00,2016,18.8,10.2,3.9,8.7
ME00,2016,21.8,17.5,10.9,16.1
MK00,2016,26.5,22.6,18.7,22.4
MT00,2016,6,3.5,2,4
NL11,2016,12.9,7.2,4.3,7.2
NL12,2016,8.9,5.3,3,5.5
NL13,2016,8.7,4.2,2.3,5
NL21,2016,8.1,5,2.9,5.1
NL22,2016,7.2,4.7,2.4,4.5
NL23,2016,10.2,5,3.4,5.7
NL31,2016,7.9,4.4,2.6,4.2
NL32,2016,7.8,4.9,2.9,4.5
NL33,2016,9.7,5.4,3.3,5.5
NL34,2016,3.7,2.8,NA,2.9
NL41,2016,7,4,2.5,4.2
NL42,2016,8.8,3.8,3,4.7
NO01,2016,10.3,5,2.8,4.6
NO02,2016,NA,NA,NA,2.8
NO03,2016,9.6,3.9,NA,4.4
NO04,2016,11.3,4.1,3.5,5.2
NO05,2016,9.4,4,NA,4
NO06,2016,NA,NA,NA,2.9
NO07,2016,NA,NA,NA,3.2
PL21,2016,9,5.2,2.1,4.2
PL22,2016,14.5,4.3,1.9,3.9
PL41,2016,6.5,3.6,1.4,3.1
PL42,2016,10,5.3,NA,4.6
PL43,2016,NA,4,NA,3.7
PL51,2016,12,5.3,2.5,4.7
PL52,2016,NA,4.2,NA,4.3
PL61,2016,15.2,5.8,2.7,5.5
PL62,2016,18.3,7.8,NA,7.2
PL63,2016,8.8,4.9,2.4,4.2
PL71,2016,11.5,5.2,1.8,4.6
PL72,2016,NA,7.7,4.2,7
PL81,2016,15.5,7.6,4.3,7.2
PL82,2016,16.9,9.8,4.2,8.4
PL84,2016,NA,4.9,2.9,4.7
PL91,2016,NA,5.4,2.1,3.5
PL92,2016,13,6.8,3.4,6.4
PT11,2016,10,10.6,8.2,9.8
PT15,2016,8.5,8,NA,7.7
PT16,2016,6.1,9.6,5.7,6.9
PT17,2016,12.8,9.9,5.5,9.5
PT18,2016,9.1,8.7,NA,8.4
PT20,2016,10.6,NA,NA,9
PT30,2016,10.6,NA,NA,10.4
RO11,2016,7,3.1,NA,3.6
RO12,2016,10.9,3.6,NA,4.2
RO21,2016,2.2,3.6,NA,2.9
RO22,2016,9.3,6.1,4.3,6.5
RO31,2016,10,6.9,NA,6.8
RO32,2016,14.1,5,1.7,4.3
RO41,2016,5.1,9.4,5.3,7.7
RO42,2016,8.1,4.1,NA,4.4
RS11,2016,18.1,14.1,11.5,13.3
RS12,2016,14.2,12.4,9.9,12.2
RS21,2016,8,15.9,13.7,13.6
RS22,2016,10.3,16.9,15.4,15.2
SE11,2016,17.6,5.2,4,6.3
SE12,2016,22,5.3,4.4,7.6
SE21,2016,15.6,3.2,3.6,5.5
SE22,2016,21.1,7.3,5.3,8.4
SE23,2016,16.2,4.4,3.7,6
SE31,2016,21.5,4.6,3,6.9
SE32,2016,18.6,5.3,2.3,6.2
SE33,2016,13.2,5.4,3.8,5.9
SI03,2016,11.2,6.7,5.5,6.8
SI04,2016,10.4,6.7,5,6.3
SK01,2016,NA,5.1,2.6,4.2
SK02,2016,17.4,5.3,3.2,5.5
SK03,2016,26.9,8.9,5.3,9.4
SK04,2016,44.1,10.1,5.8,12
TR10,2016,13.5,14.4,13.9,13.8
TR21,2016,7.2,10,9.2,8.3
TR22,2016,4.8,7.2,7.5,5.9
TR31,2016,13.1,17.1,13,14
TR32,2016,5.3,9.1,10.6,7.1
TR33,2016,4.4,9.1,9.1,6.1
TR41,2016,9.7,9.1,10.3,9.7
TR42,2016,10.4,10.2,12.4,10.8
TR51,2016,11.4,12.1,10.5,11.3
TR52,2016,4.7,7.8,8.5,5.9
TR61,2016,10.3,15.5,12.1,11.9
TR62,2016,8.6,12.2,14.3,10.6
TR63,2016,9.5,14.7,15.9,11.5
TR71,2016,9.3,13.6,15.1,11.3
TR72,2016,9.3,15,15,11.7
TR81,2016,4.8,10.4,11.1,7.2
TR82,2016,3.1,7.2,8,4.5
TR83,2016,4.9,10,10.7,6.7
TR90,2016,2,4.8,7,3.5
TRA1,2016,4,7.2,7.1,5.3
TRA2,2016,4.3,7.1,10.9,5.5
TRB1,2016,4.5,8.2,11.3,6.8
TRB2,2016,11.4,16.6,16.6,12.6
TRC1,2016,13.8,14.5,15.7,14.3
TRC2,2016,12,19.7,17.2,13.8
TRC3,2016,27.7,26.2,24.9,26.9
UKC1,2016,8.4,4.8,3.7,5.2
UKC2,2016,10.4,5.9,3.6,5.8
UKD1,2016,NA,4.8,NA,3.4
UKD3,2016,6.2,3.6,3.4,4
UKD4,2016,7.7,4.4,1.9,4.2
UKD6,2016,7.1,2.8,2.2,3.1
UKD7,2016,7.1,6.1,3,5.2
UKE1,2016,8.9,5.3,NA,4.6
UKE2,2016,NA,5.2,2.7,4.1
UKE3,2016,12.1,4.9,3.1,5.6
UKE4,2016,9.7,4.7,2,4.8
UKF1,2016,7,3.9,1.5,3.6
UKF2,2016,7,4.2,3.9,4.6
UKF3,2016,5.8,4.7,NA,3.7
UKG1,2016,5.5,2.9,1.7,2.9
UKG2,2016,7.8,5.8,2.1,4.9
UKG3,2016,11.2,7.7,3.6,7.2
UKH1,2016,6.1,4.2,2.3,3.9
UKH2,2016,5.3,3.5,3.2,3.7
UKH3,2016,6.1,3.7,3.6,4.2
UKI3,2016,15.8,10,3.7,5.6
UKI4,2016,9.2,7.9,3.6,5.3
UKI5,2016,6.3,8.4,3.2,5.6
UKI6,2016,7.3,6,3.5,4.9
UKI7,2016,7,5.7,3.9,4.9
UKJ1,2016,7.4,2.6,2.1,2.9
UKJ2,2016,4.8,4.1,2,3.2
UKJ3,2016,5.1,3.5,2,3.1
UKJ4,2016,7.2,3.8,1.7,3.7
UKK1,2016,7.3,4.7,2.2,3.9
UKK2,2016,3.5,3.2,2.1,2.8
UKK3,2016,NA,3.5,NA,2.4
UKK4,2016,4.5,4.7,3,4
UKL1,2016,7.3,5.2,2.4,4.6
UKL2,2016,7.3,4.6,3,4.3
UKM5,2016,NA,NA,3.9,4.2
UKM6,2016,NA,NA,NA,2.6
UKM7,2016,4.6,4.7,2.8,3.7
UKM8,2016,6.5,5,3.6,4.7
UKM9,2016,7.4,4.7,3.5,4.7
UKN0,2016,8.1,5,2.2,4.5
AT11,2017,NA,NA,NA,4.2
AT12,2017,8.8,3.5,2.3,3.8
AT13,2017,22.3,9.8,5.9,10
AT21,2017,NA,3.8,NA,4.1
AT22,2017,8.9,3.7,2.7,4
AT31,2017,8.1,2.9,1.5,3.2
AT32,2017,NA,2.4,NA,2.8
AT33,2017,NA,1.9,NA,2.4
AT34,2017,NA,NA,NA,3.3
BE10,2017,25.6,16.4,6.9,13.2
BE21,2017,8.9,4.4,2.7,4.3
BE22,2017,7.7,4.1,2,3.8
BE23,2017,5.7,2.2,2.2,2.7
BE24,2017,5.2,3.7,3.2,3.6
BE25,2017,5.4,2.1,1.9,2.6
BE31,2017,15.9,6.9,5.3,6.9
BE32,2017,22,10.5,3.5,9.9
BE33,2017,17.4,8.2,3.6,8.2
BE34,2017,NA,6.6,NA,5.4
BE35,2017,14.5,9.7,5.2,8.5
BG31,2017,35.4,9.6,NA,11.2
BG32,2017,20.4,5.6,3.2,6.7
BG33,2017,19.7,5.3,2.9,7.4
BG34,2017,13.8,4.3,2.4,5.4
BG41,2017,10.2,2.6,1.5,2.6
BG42,2017,7.7,3.8,3,4.2
CH01,2017,11.7,6.9,6.2,7.5
CH02,2017,7.6,4.5,2.7,4.3
CH03,2017,7.6,4.5,3.1,4.2
CH04,2017,8,4.8,3,4.3
CH05,2017,5.6,3.8,2.4,3.6
CH06,2017,4.5,2.6,2.6,2.9
CH07,2017,14,6.3,4.3,6.6
CY00,2017,9.6,8.8,7.6,8.4
CZ01,2017,5,1.4,0.9,1.3
CZ02,2017,8.9,1.9,1,2
CZ03,2017,7.1,1.4,0.5,1.5
CZ04,2017,12.7,2.4,2.1,3.4
CZ05,2017,9.3,1.7,1.1,2
CZ06,2017,11.8,2.1,1.5,2.3
CZ07,2017,9.5,2.2,0.9,2.2
CZ08,2017,16.3,3.3,2,3.7
DE11,2017,5.9,2,1.1,2.3
DE12,2017,6.7,2.5,1.9,2.9
DE13,2017,6.5,1.9,1.7,2.6
DE14,2017,4.2,1.7,NA,1.9
DE21,2017,5.8,1.8,1.9,2.3
DE22,2017,NA,1.7,NA,2
DE23,2017,NA,1.7,NA,1.9
DE24,2017,NA,2.5,NA,2.3
DE25,2017,NA,1.6,NA,1.8
DE26,2017,NA,1.6,NA,2
DE27,2017,5.4,2,NA,2.4
DE30,2017,18.7,5.6,3.1,6.1
DE40,2017,14.7,3.9,1.5,4.1
DE50,2017,NA,3.5,NA,4.3
DE60,2017,10.6,3.3,2.7,4.1
DE71,2017,8.2,2.5,1.7,3.1
DE72,2017,8.1,3.1,NA,3.6
DE73,2017,6.8,2.3,NA,2.9
DE80,2017,15.2,4.7,NA,4.8
DE91,2017,12.2,3.1,NA,4
DE92,2017,10.9,3.3,2.2,4.1
DE93,2017,7.5,1.8,NA,2.4
DE94,2017,6,2.5,NA,2.7
DEA1,2017,10.9,3.4,2,4.3
DEA2,2017,9.2,3.1,2,3.6
DEA3,2017,10.3,2.5,1.9,3.6
DEA4,2017,8.1,2.5,NA,3.2
DEA5,2017,10,3.2,1.8,4
DEB1,2017,7.4,2.1,NA,2.7
DEB2,2017,NA,NA,NA,2.5
DEB3,2017,8.8,2.7,1.9,3.5
DEC0,2017,10.1,2.7,NA,3.6
DED2,2017,14.7,4.2,NA,4
DED4,2017,NA,3.4,NA,3.4
DED5,2017,16.5,4.7,NA,4.7
DEE0,2017,17.1,4.9,2.2,5.3
DEF0,2017,8.5,2.3,2,3.1
DEG0,2017,12.8,4.3,1.9,4.1
DK01,2017,9.5,4.5,4.5,5.4
DK02,2017,9.1,3.9,3.6,5.2
DK03,2017,8.7,3.7,4,4.9
DK04,2017,7.4,3.9,3.9,4.7
DK05,2017,8.1,4.4,4.3,5.5
EE00,2017,10.5,5.7,3.5,5.4
EL30,2017,33.6,22.8,12.8,19.9
EL41,2017,25.4,21.5,20.5,22.3
EL42,2017,20.9,18.1,8.8,16.9
EL43,2017,11.5,16,11.4,13.4
EL51,2017,14,18.5,14.7,15.9
EL52,2017,24.3,23.2,15.1,20.7
EL53,2017,24.8,29.5,25.4,27
EL54,2017,22.6,23.1,15.5,20.1
EL61,2017,17.7,20.9,15.5,18.3
EL62,2017,16,17.1,13.5,15.9
EL63,2017,23.4,26.7,20.5,24.1
EL64,2017,17.9,19.9,18.4,18.9
EL65,2017,12.7,17.5,11.2,14.4
ES11,2017,18.2,13.6,8.9,13.3
ES12,2017,19.7,16.3,8.8,13.6
ES13,2017,15,11.8,7.2,10.7
ES21,2017,16.9,11.9,6.1,10
ES22,2017,17.5,10.3,5.7,10
ES23,2017,13.9,10.7,7,10.4
ES24,2017,16.2,11.3,5.6,10.6
ES30,2017,19,14.9,7.3,12.2
ES41,2017,17,11,8.3,12.1
ES42,2017,23.1,17.7,11,18.2
ES43,2017,29.6,20.7,15.4,23.6
